species,date,year,time.of.obs,start.time,start.time.2,total.obs.mins,obs.hours,day.total,count.p.hour,wind.dir.speed,wind.direction,visibility,visibility.score,principle.observer,,,,,,,,,
RTLO,8/14/14,2014,6:30-8:30,6:30,,120,2,0,0,ENE 20-30,ENE,NA,NA,KO,,,,,,,,,
RUTU,8/14/14,2014,6:30-8:30,6:30,,120,2,0,0,ENE 20-30,ENE,NA,NA,KO,,,,,,,,,
SNBU,8/14/14,2014,6:30-8:30,6:30,,120,2,0,0,ENE 20-30,ENE,NA,NA,KO,,,,,,,,,
SSHA,8/14/14,2014,6:30-8:30,6:30,,120,2,0,0,ENE 20-30,ENE,NA,NA,KO,,,,,,,,,
SUSC,8/14/14,2014,6:30-8:30,6:30,,120,2,0,0,ENE 20-30,ENE,NA,NA,KO,,,,,,,,,
SWSP,8/14/14,2014,6:30-8:30,6:30,,120,2,0,0,ENE 20-30,ENE,NA,NA,KO,,,,,,,,,
Scoter sp.,8/14/14,2014,6:30-8:30,6:30,,120,2,0,0,ENE 20-30,ENE,NA,NA,KO,,,,,,,,,
UNID,8/14/14,2014,6:30-8:30,6:30,,120,2,0,0,ENE 20-30,ENE,NA,NA,KO,,,,,,,,,
WHIM,8/14/14,2014,6:30-8:30,6:30,,120,2,0,0,ENE 20-30,ENE,NA,NA,KO,,,,,,,,,
WWSC,8/14/14,2014,6:30-8:30,6:30,,120,2,0,0,ENE 20-30,ENE,NA,NA,KO,,,,,,,,,
YBCH,8/14/14,2014,6:30-8:30,6:30,,120,2,0,0,ENE 20-30,ENE,NA,NA,KO,,,,,,,,,
YRWA,8/14/14,2014,6:30-8:30,6:30,,120,2,0,0,ENE 20-30,ENE,NA,NA,KO,,,,,,,,,
ABDU,8/18/14,2014,6:30-8:30,6:30,,120,2,0,0,Var 1-10,NA,NA,NA,KO,,,,,,,,,
AMCR,8/18/14,2014,6:30-8:30,6:30,,120,2,0,0,Var 1-10,NA,NA,NA,KO,,,,,,,,,
ATSP,8/18/14,2014,6:30-8:30,6:30,,120,2,0,0,Var 1-10,NA,NA,NA,KO,,,,,,,,,
BAEA,8/18/14,2014,6:30-8:30,6:30,,120,2,0,0,Var 1-10,NA,NA,NA,KO,,,,,,,,,
BAOR,8/18/14,2014,6:30-8:30,6:30,,120,2,0,0,Var 1-10,NA,NA,NA,KO,,,,,,,,,
BLGU,8/18/14,2014,6:30-8:30,6:30,,120,2,4,2,Var 1-10,NA,NA,NA,KO,,,,,,,,,
BLKI,8/18/14,2014,6:30-8:30,6:30,,120,2,0,0,Var 1-10,NA,NA,NA,KO,,,,,,,,,
BLSC,8/18/14,2014,6:30-8:30,6:30,,120,2,0,0,Var 1-10,NA,NA,NA,KO,,,,,,,,,
BOGU,8/18/14,2014,6:30-8:30,6:30,,120,2,0,0,Var 1-10,NA,NA,NA,KO,,,,,,,,,
BOWA,8/18/14,2014,6:30-8:30,6:30,,120,2,0,0,Var 1-10,NA,NA,NA,KO,,,,,,,,,
BUFF,8/18/14,2014,6:30-8:30,6:30,,120,2,0,0,Var 1-10,NA,NA,NA,KO,,,,,,,,,
CATE,8/18/14,2014,6:30-8:30,6:30,,120,2,0,0,Var 1-10,NA,NA,NA,KO,,,,,,,,,
COEI,8/18/14,2014,6:30-8:30,6:30,,120,2,0,0,Var 1-10,NA,NA,NA,KO,,,,,,,,,
COGO,8/18/14,2014,6:30-8:30,6:30,,120,2,0,0,Var 1-10,NA,NA,NA,KO,,,,,,,,,
COGR,8/18/14,2014,6:30-8:30,6:30,,120,2,0,0,Var 1-10,NA,NA,NA,KO,,,,,,,,,
COLO,8/18/14,2014,6:30-8:30,6:30,,120,2,0,0,Var 1-10,NA,NA,NA,KO,,,,,,,,,
Calidris sp.,8/18/14,2014,6:30-8:30,6:30,,120,2,0,0,Var 1-10,NA,NA,NA,KO,,,,,,,,,
DCCO,8/18/14,2014,6:30-8:30,6:30,,120,2,78,39,Var 1-10,NA,NA,NA,KO,,,,,,,,,
GBHE,8/18/14,2014,6:30-8:30,6:30,,120,2,0,0,Var 1-10,NA,NA,NA,KO,,,,,,,,,
GRCO,8/18/14,2014,6:30-8:30,6:30,,120,2,0,0,Var 1-10,NA,NA,NA,KO,,,,,,,,,
HADU,8/18/14,2014,6:30-8:30,6:30,,120,2,0,0,Var 1-10,NA,NA,NA,KO,,,,,,,,,
LAGU,8/18/14,2014,6:30-8:30,6:30,,120,2,0,0,Var 1-10,NA,NA,NA,KO,,,,,,,,,
LESC,8/18/14,2014,6:30-8:30,6:30,,120,2,0,0,Var 1-10,NA,NA,NA,KO,,,,,,,,,
LTDU,8/18/14,2014,6:30-8:30,6:30,,120,2,0,0,Var 1-10,NA,NA,NA,KO,,,,,,,,,
MERL,8/18/14,2014,6:30-8:30,6:30,,120,2,0,0,Var 1-10,NA,NA,NA,KO,,,,,,,,,
NOGA,8/18/14,2014,6:30-8:30,6:30,,120,2,0,0,Var 1-10,NA,NA,NA,KO,,,,,,,,,
NOPI,8/18/14,2014,6:30-8:30,6:30,,120,2,0,0,Var 1-10,NA,NA,NA,KO,,,,,,,,,
PAJA,8/18/14,2014,6:30-8:30,6:30,,120,2,0,0,Var 1-10,NA,NA,NA,KO,,,,,,,,,
PEFA,8/18/14,2014,6:30-8:30,6:30,,120,2,0,0,Var 1-10,NA,NA,NA,KO,,,,,,,,,
PISI,8/18/14,2014,6:30-8:30,6:30,,120,2,0,0,Var 1-10,NA,NA,NA,KO,,,,,,,,,
RBGU,8/18/14,2014,6:30-8:30,6:30,,120,2,0,0,Var 1-10,NA,NA,NA,KO,,,,,,,,,
RBME,8/18/14,2014,6:30-8:30,6:30,,120,2,0,0,Var 1-10,NA,NA,NA,KO,,,,,,,,,
RNGR,8/18/14,2014,6:30-8:30,6:30,,120,2,0,0,Var 1-10,NA,NA,NA,KO,,,,,,,,,
RTLO,8/18/14,2014,6:30-8:30,6:30,,120,2,0,0,Var 1-10,NA,NA,NA,KO,,,,,,,,,
RUTU,8/18/14,2014,6:30-8:30,6:30,,120,2,0,0,Var 1-10,NA,NA,NA,KO,,,,,,,,,
SNBU,8/18/14,2014,6:30-8:30,6:30,,120,2,0,0,Var 1-10,NA,NA,NA,KO,,,,,,,,,
SSHA,8/18/14,2014,6:30-8:30,6:30,,120,2,0,0,Var 1-10,NA,NA,NA,KO,,,,,,,,,
SUSC,8/18/14,2014,6:30-8:30,6:30,,120,2,0,0,Var 1-10,NA,NA,NA,KO,,,,,,,,,
SWSP,8/18/14,2014,6:30-8:30,6:30,,120,2,0,0,Var 1-10,NA,NA,NA,KO,,,,,,,,,
Scoter sp.,8/18/14,2014,6:30-8:30,6:30,,120,2,0,0,Var 1-10,NA,NA,NA,KO,,,,,,,,,
UNID,8/18/14,2014,6:30-8:30,6:30,,120,2,0,0,Var 1-10,NA,NA,NA,KO,,,,,,,,,
WHIM,8/18/14,2014,6:30-8:30,6:30,,120,2,0,0,Var 1-10,NA,NA,NA,KO,,,,,,,,,
WWSC,8/18/14,2014,6:30-8:30,6:30,,120,2,0,0,Var 1-10,NA,NA,NA,KO,,,,,,,,,
YBCH,8/18/14,2014,6:30-8:30,6:30,,120,2,0,0,Var 1-10,NA,NA,NA,KO,,,,,,,,,
YRWA,8/18/14,2014,6:30-8:30,6:30,,120,2,0,0,Var 1-10,NA,NA,NA,KO,,,,,,,,,
ABDU,8/21/14,2014,6:30-8:30,6:30,,120,2,0,0,Var 1-3,NA,NA,NA,KO,,,,,,,,,
AMCR,8/21/14,2014,6:30-8:30,6:30,,120,2,0,0,Var 1-3,NA,NA,NA,KO,,,,,,,,,
ATSP,8/21/14,2014,6:30-8:30,6:30,,120,2,0,0,Var 1-3,NA,NA,NA,KO,,,,,,,,,
BAEA,8/21/14,2014,6:30-8:30,6:30,,120,2,0,0,Var 1-3,NA,NA,NA,KO,,,,,,,,,
BAOR,8/21/14,2014,6:30-8:30,6:30,,120,2,0,0,Var 1-3,NA,NA,NA,KO,,,,,,,,,
BLGU,8/21/14,2014,6:30-8:30,6:30,,120,2,0,0,Var 1-3,NA,NA,NA,KO,,,,,,,,,
BLKI,8/21/14,2014,6:30-8:30,6:30,,120,2,0,0,Var 1-3,NA,NA,NA,KO,,,,,,,,,
BLSC,8/21/14,2014,6:30-8:30,6:30,,120,2,39,19.5,Var 1-3,NA,NA,NA,KO,,,,,,,,,
BOGU,8/21/14,2014,6:30-8:30,6:30,,120,2,0,0,Var 1-3,NA,NA,NA,KO,,,,,,,,,
BOWA,8/21/14,2014,6:30-8:30,6:30,,120,2,0,0,Var 1-3,NA,NA,NA,KO,,,,,,,,,
BUFF,8/21/14,2014,6:30-8:30,6:30,,120,2,0,0,Var 1-3,NA,NA,NA,KO,,,,,,,,,
CATE,8/21/14,2014,6:30-8:30,6:30,,120,2,0,0,Var 1-3,NA,NA,NA,KO,,,,,,,,,
COEI,8/21/14,2014,6:30-8:30,6:30,,120,2,0,0,Var 1-3,NA,NA,NA,KO,,,,,,,,,
COGO,8/21/14,2014,6:30-8:30,6:30,,120,2,0,0,Var 1-3,NA,NA,NA,KO,,,,,,,,,
COGR,8/21/14,2014,6:30-8:30,6:30,,120,2,0,0,Var 1-3,NA,NA,NA,KO,,,,,,,,,
COLO,8/21/14,2014,6:30-8:30,6:30,,120,2,2,1,Var 1-3,NA,NA,NA,KO,,,,,,,,,
Calidris sp.,8/21/14,2014,6:30-8:30,6:30,,120,2,9,4.5,Var 1-3,NA,NA,NA,KO,,,,,,,,,
DCCO,8/21/14,2014,6:30-8:30,6:30,,120,2,180,90,Var 1-3,NA,NA,NA,KO,,,,,,,,,
GBHE,8/21/14,2014,6:30-8:30,6:30,,120,2,2,1,Var 1-3,NA,NA,NA,KO,,,,,,,,,
GRCO,8/21/14,2014,6:30-8:30,6:30,,120,2,0,0,Var 1-3,NA,NA,NA,KO,,,,,,,,,
HADU,8/21/14,2014,6:30-8:30,6:30,,120,2,0,0,Var 1-3,NA,NA,NA,KO,,,,,,,,,
LAGU,8/21/14,2014,6:30-8:30,6:30,,120,2,0,0,Var 1-3,NA,NA,NA,KO,,,,,,,,,
LESC,8/21/14,2014,6:30-8:30,6:30,,120,2,0,0,Var 1-3,NA,NA,NA,KO,,,,,,,,,
LTDU,8/21/14,2014,6:30-8:30,6:30,,120,2,0,0,Var 1-3,NA,NA,NA,KO,,,,,,,,,
MERL,8/21/14,2014,6:30-8:30,6:30,,120,2,1,0.5,Var 1-3,NA,NA,NA,KO,,,,,,,,,
NOGA,8/21/14,2014,6:30-8:30,6:30,,120,2,0,0,Var 1-3,NA,NA,NA,KO,,,,,,,,,
NOPI,8/21/14,2014,6:30-8:30,6:30,,120,2,0,0,Var 1-3,NA,NA,NA,KO,,,,,,,,,
PAJA,8/21/14,2014,6:30-8:30,6:30,,120,2,0,0,Var 1-3,NA,NA,NA,KO,,,,,,,,,
PEFA,8/21/14,2014,6:30-8:30,6:30,,120,2,0,0,Var 1-3,NA,NA,NA,KO,,,,,,,,,
PISI,8/21/14,2014,6:30-8:30,6:30,,120,2,0,0,Var 1-3,NA,NA,NA,KO,,,,,,,,,
RBGU,8/21/14,2014,6:30-8:30,6:30,,120,2,0,0,Var 1-3,NA,NA,NA,KO,,,,,,,,,
RBME,8/21/14,2014,6:30-8:30,6:30,,120,2,0,0,Var 1-3,NA,NA,NA,KO,,,,,,,,,
RNGR,8/21/14,2014,6:30-8:30,6:30,,120,2,0,0,Var 1-3,NA,NA,NA,KO,,,,,,,,,
RTLO,8/21/14,2014,6:30-8:30,6:30,,120,2,0,0,Var 1-3,NA,NA,NA,KO,,,,,,,,,
RUTU,8/21/14,2014,6:30-8:30,6:30,,120,2,0,0,Var 1-3,NA,NA,NA,KO,,,,,,,,,
SNBU,8/21/14,2014,6:30-8:30,6:30,,120,2,0,0,Var 1-3,NA,NA,NA,KO,,,,,,,,,
SSHA,8/21/14,2014,6:30-8:30,6:30,,120,2,1,0.5,Var 1-3,NA,NA,NA,KO,,,,,,,,,
SUSC,8/21/14,2014,6:30-8:30,6:30,,120,2,0,0,Var 1-3,NA,NA,NA,KO,,,,,,,,,
SWSP,8/21/14,2014,6:30-8:30,6:30,,120,2,0,0,Var 1-3,NA,NA,NA,KO,,,,,,,,,
Scoter sp.,8/21/14,2014,6:30-8:30,6:30,,120,2,0,0,Var 1-3,NA,NA,NA,KO,,,,,,,,,
UNID,8/21/14,2014,6:30-8:30,6:30,,120,2,0,0,Var 1-3,NA,NA,NA,KO,,,,,,,,,
WHIM,8/21/14,2014,6:30-8:30,6:30,,120,2,0,0,Var 1-3,NA,NA,NA,KO,,,,,,,,,
WWSC,8/21/14,2014,6:30-8:30,6:30,,120,2,0,0,Var 1-3,NA,NA,NA,KO,,,,,,,,,
YBCH,8/21/14,2014,6:30-8:30,6:30,,120,2,0,0,Var 1-3,NA,NA,NA,KO,,,,,,,,,
YRWA,8/21/14,2014,6:30-8:30,6:30,,120,2,0,0,Var 1-3,NA,NA,NA,KO,,,,,,,,,
ABDU,8/25/14,2014,6:30-8:30,6:30,,120,2,0,0,Calm 1-3,NA,NA,NA,KO,,,,,,,,,
AMCR,8/25/14,2014,6:30-8:30,6:30,,120,2,0,0,Calm 1-3,NA,NA,NA,KO,,,,,,,,,
ATSP,8/25/14,2014,6:30-8:30,6:30,,120,2,0,0,Calm 1-3,NA,NA,NA,KO,,,,,,,,,
BAEA,8/25/14,2014,6:30-8:30,6:30,,120,2,0,0,Calm 1-3,NA,NA,NA,KO,,,,,,,,,
BAOR,8/25/14,2014,6:30-8:30,6:30,,120,2,0,0,Calm 1-3,NA,NA,NA,KO,,,,,,,,,
BLGU,8/25/14,2014,6:30-8:30,6:30,,120,2,0,0,Calm 1-3,NA,NA,NA,KO,,,,,,,,,
BLKI,8/25/14,2014,6:30-8:30,6:30,,120,2,0,0,Calm 1-3,NA,NA,NA,KO,,,,,,,,,
BLSC,8/25/14,2014,6:30-8:30,6:30,,120,2,0,0,Calm 1-3,NA,NA,NA,KO,,,,,,,,,
BOGU,8/25/14,2014,6:30-8:30,6:30,,120,2,0,0,Calm 1-3,NA,NA,NA,KO,,,,,,,,,
BOWA,8/25/14,2014,6:30-8:30,6:30,,120,2,0,0,Calm 1-3,NA,NA,NA,KO,,,,,,,,,
BUFF,8/25/14,2014,6:30-8:30,6:30,,120,2,0,0,Calm 1-3,NA,NA,NA,KO,,,,,,,,,
CATE,8/25/14,2014,6:30-8:30,6:30,,120,2,0,0,Calm 1-3,NA,NA,NA,KO,,,,,,,,,
COEI,8/25/14,2014,6:30-8:30,6:30,,120,2,0,0,Calm 1-3,NA,NA,NA,KO,,,,,,,,,
COGO,8/25/14,2014,6:30-8:30,6:30,,120,2,0,0,Calm 1-3,NA,NA,NA,KO,,,,,,,,,
COGR,8/25/14,2014,6:30-8:30,6:30,,120,2,0,0,Calm 1-3,NA,NA,NA,KO,,,,,,,,,
COLO,8/25/14,2014,6:30-8:30,6:30,,120,2,0,0,Calm 1-3,NA,NA,NA,KO,,,,,,,,,
Calidris sp.,8/25/14,2014,6:30-8:30,6:30,,120,2,3,1.5,Calm 1-3,NA,NA,NA,KO,,,,,,,,,
DCCO,8/25/14,2014,6:30-8:30,6:30,,120,2,42,21,Calm 1-3,NA,NA,NA,KO,,,,,,,,,
GBHE,8/25/14,2014,6:30-8:30,6:30,,120,2,0,0,Calm 1-3,NA,NA,NA,KO,,,,,,,,,
GRCO,8/25/14,2014,6:30-8:30,6:30,,120,2,0,0,Calm 1-3,NA,NA,NA,KO,,,,,,,,,
HADU,8/25/14,2014,6:30-8:30,6:30,,120,2,0,0,Calm 1-3,NA,NA,NA,KO,,,,,,,,,
LAGU,8/25/14,2014,6:30-8:30,6:30,,120,2,0,0,Calm 1-3,NA,NA,NA,KO,,,,,,,,,
LESC,8/25/14,2014,6:30-8:30,6:30,,120,2,0,0,Calm 1-3,NA,NA,NA,KO,,,,,,,,,
LTDU,8/25/14,2014,6:30-8:30,6:30,,120,2,0,0,Calm 1-3,NA,NA,NA,KO,,,,,,,,,
MERL,8/25/14,2014,6:30-8:30,6:30,,120,2,0,0,Calm 1-3,NA,NA,NA,KO,,,,,,,,,
NOGA,8/25/14,2014,6:30-8:30,6:30,,120,2,5,2.5,Calm 1-3,NA,NA,NA,KO,,,,,,,,,
NOPI,8/25/14,2014,6:30-8:30,6:30,,120,2,0,0,Calm 1-3,NA,NA,NA,KO,,,,,,,,,
PAJA,8/25/14,2014,6:30-8:30,6:30,,120,2,0,0,Calm 1-3,NA,NA,NA,KO,,,,,,,,,
PEFA,8/25/14,2014,6:30-8:30,6:30,,120,2,1,0.5,Calm 1-3,NA,NA,NA,KO,,,,,,,,,
PISI,8/25/14,2014,6:30-8:30,6:30,,120,2,0,0,Calm 1-3,NA,NA,NA,KO,,,,,,,,,
RBGU,8/25/14,2014,6:30-8:30,6:30,,120,2,0,0,Calm 1-3,NA,NA,NA,KO,,,,,,,,,
RBME,8/25/14,2014,6:30-8:30,6:30,,120,2,0,0,Calm 1-3,NA,NA,NA,KO,,,,,,,,,
RNGR,8/25/14,2014,6:30-8:30,6:30,,120,2,0,0,Calm 1-3,NA,NA,NA,KO,,,,,,,,,
RTLO,8/25/14,2014,6:30-8:30,6:30,,120,2,0,0,Calm 1-3,NA,NA,NA,KO,,,,,,,,,
RUTU,8/25/14,2014,6:30-8:30,6:30,,120,2,0,0,Calm 1-3,NA,NA,NA,KO,,,,,,,,,
SNBU,8/25/14,2014,6:30-8:30,6:30,,120,2,0,0,Calm 1-3,NA,NA,NA,KO,,,,,,,,,
SSHA,8/25/14,2014,6:30-8:30,6:30,,120,2,0,0,Calm 1-3,NA,NA,NA,KO,,,,,,,,,
SUSC,8/25/14,2014,6:30-8:30,6:30,,120,2,0,0,Calm 1-3,NA,NA,NA,KO,,,,,,,,,
SWSP,8/25/14,2014,6:30-8:30,6:30,,120,2,0,0,Calm 1-3,NA,NA,NA,KO,,,,,,,,,
Scoter sp.,8/25/14,2014,6:30-8:30,6:30,,120,2,0,0,Calm 1-3,NA,NA,NA,KO,,,,,,,,,
UNID,8/25/14,2014,6:30-8:30,6:30,,120,2,0,0,Calm 1-3,NA,NA,NA,KO,,,,,,,,,
WHIM,8/25/14,2014,6:30-8:30,6:30,,120,2,0,0,Calm 1-3,NA,NA,NA,KO,,,,,,,,,
WWSC,8/25/14,2014,6:30-8:30,6:30,,120,2,1,0.5,Calm 1-3,NA,NA,NA,KO,,,,,,,,,
YBCH,8/25/14,2014,6:30-8:30,6:30,,120,2,0,0,Calm 1-3,NA,NA,NA,KO,,,,,,,,,
YRWA,8/25/14,2014,6:30-8:30,6:30,,120,2,0,0,Calm 1-3,NA,NA,NA,KO,,,,,,,,,
ABDU,9/4/14,2014,6:40-8:40,6:40,,120,2,0,0,N 1-3,N,NA,NA,KO,,,,,,,,,
AMCR,9/4/14,2014,6:40-8:40,6:40,,120,2,0,0,N 1-3,N,NA,NA,KO,,,,,,,,,
ATSP,9/4/14,2014,6:40-8:40,6:40,,120,2,0,0,N 1-3,N,NA,NA,KO,,,,,,,,,
BAEA,9/4/14,2014,6:40-8:40,6:40,,120,2,0,0,N 1-3,N,NA,NA,KO,,,,,,,,,
BAOR,9/4/14,2014,6:40-8:40,6:40,,120,2,0,0,N 1-3,N,NA,NA,KO,,,,,,,,,
BLGU,9/4/14,2014,6:40-8:40,6:40,,120,2,0,0,N 1-3,N,NA,NA,KO,,,,,,,,,
BLKI,9/4/14,2014,6:40-8:40,6:40,,120,2,0,0,N 1-3,N,NA,NA,KO,,,,,,,,,
BLSC,9/4/14,2014,6:40-8:40,6:40,,120,2,0,0,N 1-3,N,NA,NA,KO,,,,,,,,,
BOGU,9/4/14,2014,6:40-8:40,6:40,,120,2,0,0,N 1-3,N,NA,NA,KO,,,,,,,,,
BOWA,9/4/14,2014,6:40-8:40,6:40,,120,2,0,0,N 1-3,N,NA,NA,KO,,,,,,,,,
BUFF,9/4/14,2014,6:40-8:40,6:40,,120,2,0,0,N 1-3,N,NA,NA,KO,,,,,,,,,
CATE,9/4/14,2014,6:40-8:40,6:40,,120,2,2,1,N 1-3,N,NA,NA,KO,,,,,,,,,
COEI,9/4/14,2014,6:40-8:40,6:40,,120,2,0,0,N 1-3,N,NA,NA,KO,,,,,,,,,
COGO,9/4/14,2014,6:40-8:40,6:40,,120,2,0,0,N 1-3,N,NA,NA,KO,,,,,,,,,
COGR,9/4/14,2014,6:40-8:40,6:40,,120,2,0,0,N 1-3,N,NA,NA,KO,,,,,,,,,
COLO,9/4/14,2014,6:40-8:40,6:40,,120,2,4,2,N 1-3,N,NA,NA,KO,,,,,,,,,
Calidris sp.,9/4/14,2014,6:40-8:40,6:40,,120,2,0,0,N 1-3,N,NA,NA,KO,,,,,,,,,
DCCO,9/4/14,2014,6:40-8:40,6:40,,120,2,69,34.5,N 1-3,N,NA,NA,KO,,,,,,,,,
GBHE,9/4/14,2014,6:40-8:40,6:40,,120,2,0,0,N 1-3,N,NA,NA,KO,,,,,,,,,
GRCO,9/4/14,2014,6:40-8:40,6:40,,120,2,0,0,N 1-3,N,NA,NA,KO,,,,,,,,,
HADU,9/4/14,2014,6:40-8:40,6:40,,120,2,0,0,N 1-3,N,NA,NA,KO,,,,,,,,,
LAGU,9/4/14,2014,6:40-8:40,6:40,,120,2,0,0,N 1-3,N,NA,NA,KO,,,,,,,,,
LESC,9/4/14,2014,6:40-8:40,6:40,,120,2,0,0,N 1-3,N,NA,NA,KO,,,,,,,,,
LTDU,9/4/14,2014,6:40-8:40,6:40,,120,2,0,0,N 1-3,N,NA,NA,KO,,,,,,,,,
MERL,9/4/14,2014,6:40-8:40,6:40,,120,2,0,0,N 1-3,N,NA,NA,KO,,,,,,,,,
NOGA,9/4/14,2014,6:40-8:40,6:40,,120,2,0,0,N 1-3,N,NA,NA,KO,,,,,,,,,
NOPI,9/4/14,2014,6:40-8:40,6:40,,120,2,0,0,N 1-3,N,NA,NA,KO,,,,,,,,,
PAJA,9/4/14,2014,6:40-8:40,6:40,,120,2,0,0,N 1-3,N,NA,NA,KO,,,,,,,,,
PEFA,9/4/14,2014,6:40-8:40,6:40,,120,2,0,0,N 1-3,N,NA,NA,KO,,,,,,,,,
PISI,9/4/14,2014,6:40-8:40,6:40,,120,2,0,0,N 1-3,N,NA,NA,KO,,,,,,,,,
RBGU,9/4/14,2014,6:40-8:40,6:40,,120,2,0,0,N 1-3,N,NA,NA,KO,,,,,,,,,
RBME,9/4/14,2014,6:40-8:40,6:40,,120,2,0,0,N 1-3,N,NA,NA,KO,,,,,,,,,
RNGR,9/4/14,2014,6:40-8:40,6:40,,120,2,0,0,N 1-3,N,NA,NA,KO,,,,,,,,,
RTLO,9/4/14,2014,6:40-8:40,6:40,,120,2,0,0,N 1-3,N,NA,NA,KO,,,,,,,,,
RUTU,9/4/14,2014,6:40-8:40,6:40,,120,2,0,0,N 1-3,N,NA,NA,KO,,,,,,,,,
SNBU,9/4/14,2014,6:40-8:40,6:40,,120,2,0,0,N 1-3,N,NA,NA,KO,,,,,,,,,
SSHA,9/4/14,2014,6:40-8:40,6:40,,120,2,0,0,N 1-3,N,NA,NA,KO,,,,,,,,,
SUSC,9/4/14,2014,6:40-8:40,6:40,,120,2,0,0,N 1-3,N,NA,NA,KO,,,,,,,,,
