Date,Species Totals,8/27/2016,8/28/2016,8/29/2016,8/30/2016,8/31/2016,9/1/2016,9/2/2016,9/3/2016,9/4/2016,9/5/2016,9/6/2016,9/7/2016,9/8/2016,9/9/2016,9/10/2016,9/11/2016,9/12/2016,9/13/2016,9/14/2016,9/15/2016,9/16/2016,9/17/2016,9/18/2016,9/19/2016,9/20/2016,9/21/2016,9/22/2016,9/23/2016,9/24/2016,9/25/2016,9/26/2016,9/27/2016,9/28/2016,9/29/2016,9/30/2016,10/1/2016,10/2/2016,10/3/2016,10/4/2016,10/5/2016,10/6/2016,10/7/2016,10/8/2016,10/9/2016,10/10/2016,10/11/2016,10/12/2016,10/13/2016,10/14/2016,10/15/2016,10/16/2016,10/17/2016,10/18/2016,10/19/2016,10/20/2016,10/21/2016,10/22/2016,10/23/2016,10/24/2016,10/25/2016,10/26/2016,10/27/2016,10/28/2016,10/29/2016,10/30/2016,10/31/2016,11/01/2016,11/02/2016,11/03/2016,11/04/2016,11/05/2016,11/06/2016,11/07/2016,11/08/2016,11/10/2016,11/11/2016,11/12/2016,11/13/2016,11/14/2016,
White-Winged Scoter,627,,,,,,1,,,,,,,,,8,6,,2,,8,1,1,,,,3,13,60,21,18,7,,9,0,2,12,39,0,0,3,10,6,0,11,15,0,54,6,3,19,70,2,12,,,,,,27,7,0,3,,6,6,8,14,73,4,7,19,3,5,4,4,7,6,1,1,627
Great Cormorant,80,,,,,,,,,,,,1,,,,,1,4,,4,11,5,1,,,1,3,3,3,1,0,,5,1,4,0,0,2,0,0,2,1,1,0,0,3,5,0,1,1,4,1,0,,,,,,0,0,1,0,,0,4,1,2,0,0,0,0,0,0,0,0,0,3,0,0,80
Black Scoter,1053,,,,,,,,,,,,,,,,3,,,,3,,,,,,,,,,,0,,44,1,0,0,0,0,0,7,11,4,0,19,14,0,112,69,7,81,308,31,89,,,,,,20,35,4,31,,9,8,6,36,17,5,3,2,0,3,14,0,2,20,33,2,1053
Surf Scoter,2317,,,,,,,,,,,,,,,,1,3,18,10,20,46,16,1,6,,13,36,161,108,233,0,,70,21,74,84,106,0,0,60,143,43,8,21,52,7,404,56,17,18,285,27,37,,,,,,1,24,0,12,,12,10,3,1,48,0,0,0,0,0,0,0,0,0,1,0,2317
Scoter Species,2574,,,,,,,,,,,,,,,,,3,,1,26,42,9,,,,9,46,54,55,92,0,,47,19,66,40,83,0,2,45,54,14,0,18,239,0,649,38,33,79,336,32,35,14,,,,,22,10,0,14,,27,33,9,9,139,19,0,8,0,5,31,11,8,15,34,0,2574
Common Tern,3,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Caspian Tern,10,,,,,,,,,,,,,,,,,3,2,1,,3,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
Red-necked Grebe,52,,,,,,,,,,,,,,,,,,2,,,,,,,,,1,1,2,,,,,,3,,,,,1,,,,,,,2,3,12,0,1,2,0,,,,,,0,,1,0,,3,3,1,1,0,0,0,0,0,1,3,0,0,3,6,0,52
Merlin,14,,,,,,,,,,,,,,,,,,1,,1,4,,,,,,,1,1,,,,1,2,,,,,,,1,1,,,,,,,,1,0,0,0,,,,,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
Laughing Gull,22,,,,,,,,,,,,,,,,,,2,12,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,,,,,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
Sharp Shinned Hawk,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Northern Harrier,4,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,1,,,,,,,,,,,,1,,,,,0,0,0,0,,,,,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Cormorant Species,8,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,0,0,0,0,,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,8
Peregrine Falcon,25,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,2,,,,,4,5,1,4,,,,,1,1,1,1,1,,,,,0,1,0,1,,,,,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
Falcon Species,6,,,,,,,,,,,,,,,,,,,,,,2,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,0,0,0,0,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Tern Species,10,,,,,,,,,,,,,,,,,,,,,,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
Am. Black Duck,17,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,5,,2,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,0,3,0,0,,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,17
RT Hummingbird,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Shorebird sp.,6,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Black Guillemot,179,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,2,,,4,,4,3,,,,1,1,,,,1,,8,8,6,9,13,2,0,,,,,,0,7,0,0,,19,35,22,3,1,0,0,0,0,0,4,0,0,8,15,0,179
Loon Sp.,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,1,,,,,,,1,,,0,0,0,0,,,,,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,1,1,5,4,12,0,27
Bald Eagle,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,,3,1,,,,,,,,,,,,,,,,0,0,0,0,,,,,,0,1,1,2,,4,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,20
Greater White-fronted Goose,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
Common Raven,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Peep sp.,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,3,,7,,,,,16,,,0,0,0,0,,,,,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41
Long-tailed Duck,355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,0,8,0,0,,,,,,0,6,15,31,,70,28,47,21,0,6,1,6,3,0,11,9,5,41,46,0,355
Red-breasted Merganser,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,2,,,,,5,2,2,10,26,2,17,,,,,,0,1,2,7,,11,5,3,0,30,2,0,0,0,4,5,0,0,4,0,0,144
Unidentified Duck,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,2,,4,6,,,0,0,0,0,,,,,,0,0,0,0,,0,2,1,4,0,0,0,0,0,0,2,0,0,12,0,0,36
Semi-palmated Plover,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,0,0,0,0,,,,,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
Ring-billed Gull,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,0,0,5,0,,,,,,0,13,0,6,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,27
Northern Pintail,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,0,0,0,0,,,,,,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Laughing Gull,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,0,0,1,0,,,,,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Parasitic Jaeger,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,0,0,0,0,,,,,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Osprey,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,0,0,0,0,,,,,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Mallard,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,0,0,0,0,,,,,,0,0,0,0,,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,13
Falcon sp.,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,0,0,0,0,,,,,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Merganser sp,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,0,0,0,0,,,,,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Bonaparte's Gull,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,0,0,0,,,,,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,8
Red-throated Loon,116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,5,,,,,,0,9,2,5,,1,0,2,0,3,2,0,0,2,0,12,2,6,4,58,1,116
Brant,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Palm Warbler,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Black-legged K'wake,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,2,8,0,10
Razorbill,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,8,0,9
Grebe sp.,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,2,0,2
Season Total,50295,271,639,0,0,151,117,243,518,444,0,0,22,0,8,199,125,296,142,201,681,923,299,59,14,0,216,933,628,1546,1062,96,0,2107,1130,570,515,738,513,313,534,477,584,422,671,1735,840,4427,1720,1456,2271,2937,1374,2199,186,0,0,0,0,1624,577,1149,1411,0,896,512,452,457,1803,447,274,1350,269,162,249,216,191,210,433,61,50295
