RNGR,68,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,,,1,2,,,,,1,,1,,,,,5,1,6,,1,1,1,2,1,4,1,1,2,,,1,9,8,,3,2,3,,3,5,,
HOGR,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRCO,305,,2,2,3,10,9,14,,1,,,,,,8,14,8,2,12,22,,,,7,11,5,5,20,6,2,,,4,10,3,8,2,,,6,6,9,1,,16,16,3,3,3,,2,,8,1,3,2,5,7,4,,1,6,3,,,3,3,1,,3,,
DCCO,36947,52,246,13,138,190,612,119,19,39,43,90,,54,,35,719,917,195,14,168,181,10,10,69,829,1126,785,643,988,1691,2,89,844,117,152,26,63,26,614,1302,720,1066,498,154,434,2083,5175,1072,495,693,1002,2068,302,586,127,798,639,198,331,,,38,4744,77,6,7,91,19,40,139,10,105
CO sp.,65,,,,,1,1,,,1,,,,3,,,,,,,29,6,,,,,,,7,,,,,10,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,
NOGA,6525,,5,44,78,253,40,53,42,40,1,,,15,,183,47,106,29,289,9,,2,10,67,50,22,,1,5,24,191,108,6,330,40,224,128,,61,60,249,237,164,401,105,95,565,515,508,96,1,8,35,10,4,117,51,24,27,,312,69,12,10,24,106,35,1,54,81,30,16
GBHE,26,,,,,,,,1,,,,,,,,2,,,,,,,,3,,,,,,,,,,,3,,,,,1,1,1,1,2,,5,,,1,2,1,2,,,,,,,,,,,,,,,,,,,,
GREG,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CANG,634,,,,,,,,,,,,,,,,3,35,,,,,,,,,,,,,,,,,,2,,,,,,1,,,,,73,,2,,68,3,160,,28,,,11,,,,,,153,84,,,,,,11,,
BRAN,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WODU,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
MALL,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,,,,,,,1,,,5,,,,1,,,2,,,,,,,,,,,,,,,,1,,,
ABDU,104,,,,,,,,,,,,,,,,,3,,,,3,,,,,,,,,,,,,,2,7,1,,,11,7,4,2,3,,47,1,,,,,1,,1,,,8,,1,,,,,,,,,,1,1,,
MALL/ABDU,12,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,7,,
GWTE,16,,,,,,,1,,,,,,,,,,,,,4,,,,,,,,,,,,,,,2,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,
COEI,12790,5,106,,27,32,44,59,5,17,4,1,,61,,17,108,128,96,15,175,112,89,19,131,100,169,187,253,195,136,89,75,258,449,401,56,701,53,308,627,180,548,121,328,153,771,393,454,508,463,49,202,153,803,30,277,206,125,464,,17,88,272,44,113,133,94,4,233,176,10,70
HADU,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,2,,,,,,,,,,
LTDU,1176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,2,,30,2,188,2,7,17,3,2,1,54,29,,80,20,26,11,,12,22,53,2,2,11,113,9,37,126,301,11
SUSC,4139,,,1,7,1,5,6,,5,,4,,2,,20,11,19,100,4,236,89,124,10,21,36,53,243,83,68,68,23,25,18,83,117,258,70,28,83,34,53,254,13,883,1,581,189,5,4,37,3,1,5,13,,37,7,4,41,,19,4,,,,,9,,17,4,,
BLSC,8153,,2,,,8,18,13,,1,,,,,,1,,,,,12,8,17,6,,11,,1,,,16,,4,,101,20,259,63,52,,22,121,33,6,5920,125,539,502,24,27,27,,4,1,37,,16,,,10,,48,24,2,19,,11,20,,2,,,
WWSC,1157,,11,,,,,6,,,,,,1,,16,4,,13,5,6,2,25,,2,8,2,18,24,83,3,,5,20,36,2,135,2,3,8,13,28,30,10,328,9,85,12,9,5,11,2,3,2,22,,4,3,19,1,,22,11,4,,,4,4,,9,11,49,7
SC sp.,24909,,21,,19,8,26,2,6,,,,,1,,1,6,27,2,,110,47,100,2,1,3,21,174,117,265,12,4,48,29,138,108,287,74,52,56,57,53,580,8,20230,82,702,576,18,38,28,4,13,1,49,40,323,13,46,15,,67,44,23,23,1,,,1,53,19,34,1
COGO,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,
BUFF,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,
RBME,721,,,,,,,,,,,,,,,,,,,,,,,,,2,,3,,,,,8,,,,5,1,,2,17,26,40,,24,3,180,12,2,13,8,20,3,53,19,,7,9,7,9,,4,5,14,7,,3,1,39,18,26,116,15
Duck sp.,2655,,22,1,1,8,2,10,,4,,,,8,,,26,,2,,43,44,5,,,4,,94,21,42,21,4,24,29,253,47,51,24,9,,17,77,74,1,767,,421,13,29,18,28,12,4,31,209,6,2,4,9,,,1,1,,23,,4,26,3,6,27,36,7
PAJA,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POJA,5,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1
Jaeger sp.,16,,,,,,,,,1,,,,,,,,,,1,2,1,,,,,,,,2,,,,1,,,,,,,1,1,,,,,,,,,,,,1,,,,1,,,,1,1,,,,1,,,1,,,
BOGU,44,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,3,,,,,,,,,,,1,,3,,,,,,,,,,,,,,,,,,23,,,7,1,,,1,,2
LAGU,42,,,,1,10,2,3,2,4,,,,3,,5,5,1,,2,,,1,,,,,1,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RBGU,470,,,1,,1,1,,,,,,,,,10,4,2,,9,1,1,2,,,,1,1,6,5,3,,,1,1,2,2,3,,,3,3,6,11,8,84,,26,10,11,10,14,20,12,4,3,6,8,,14,,,,2,,,13,,3,52,68,5,17
BLKI,16,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,3,1,5,3,,,
CATE,34,,2,3,,,,2,6,,,,,,,,3,,,,,,,,,,,,,,,,,,11,,5,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
COTE,4,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tern sp.,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAZO,24,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,2,5,3,,,1,3,,3,2,,2
Large alcid sp.,5,,,,,,,1,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,
BLGU,116,,,,,2,,,,,,,,,,,,,,,,,,,,,1,,,,,2,,,,3,1,,,,10,,12,7,1,3,25,,3,3,,,1,,,,5,1,1,1,,9,8,5,,,6,4,,1,1,,
UNBI,1019,,1,,,,,,,,,,,46,,,4,,,,,6,,,1,,1,57,,11,27,,,5,5,130,,4,,2,14,47,32,2,17,21,,2,220,3,20,1,18,,87,,7,3,72,16,,,2,2,1,2,,11,2,5,65,43,4
Total,104647,57,422,65,280,551,777,306,81,118,48,95,0,197,0,304,1006,1268,471,373,845,510,398,62,318,1059,1407,1586,1205,1674,2066,331,400,1267,1609,1051,1337,1175,230,1157,2223,1618,2999,866,29147,1061,6031,7514,2471,1680,1551,1122,2518,674,2172,217,1699,1025,571,1001,0,524,373,5667,296,175,404,503,91,567,848,663,270
Total check,104647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Visitors,542,6,10,2,0,4,13,,2,2,1,3,,15,1,4,13,62,13,23,22,9,11,3,,,14,10,10,9,12,11,,9,13,9,18,17,0,2,4,12,7,26,28,5,1,9,9,4,8,2,1,1,9,4,7,4,6,0,,12,3,5,0,8,1,0,6,5,2,0,0
Birds/hour,311.5112125,28.5,64.92307692,32.5,140,100.1818182,141.2727273,55.63636364,24.92307692,23.6,28.8,35.625,#DIV/0!,56.28571429,0,86.85714286,158.8421053,187.8518519,125.6,64.86956522,146.9565217,102,72.36363636,20.66666667,68.14285714,211.8,402,264.3333333,219.0909091,279,344.3333333,66.2,100,230.3636364,292.5454545,191.0909091,243.0909091,213.6363636,65.71428571,289.25,386.6086957,242.7,521.5652174,144.3333333,3238.555556,208.7213115,1340.222222,1288.114286,449.2727273,305.4545455,282,224.4,457.8181818,168.5,362,62,339.8,186.3636364,108.7619048,250.25,0,149.0047393,71.04761905,944.5,91.07692308,35,80.8,125.75,18.2,113.4,169.6,189.4285714,67.5
,,9/4/18,9/5/18,9/6/18,9/7/18,9/8/18,9/9/18,9/10/18,9/11/18,9/12/18,9/13/18,9/14/18,9/15/18,9/16/18,9/17/18,9/18/18,9/19/18,9/20/18,9/21/18,9/22/18,9/23/18,9/24/18,9/25/18,9/26/18,9/27/18,9/28/18,9/29/18,9/30/18,10/1/18,10/2/18,10/3/18,10/4/18,10/5/18,10/6/18,10/7/18,10/8/18,10/9/18,10/10/18,10/11/18,10/12/18,10/13/18,10/14/18,10/15/18,10/16/18,10/17/18,10/18/18,10/19/18,10/20/18,10/21/18,10/22/18,10/23/18,10/24/18,10/25/18,10/26/18,10/27/18,10/28/18,10/29/18,10/30/18,10/31/18,11/1/18,11/2/18,11/3/18,11/4/18,11/5/18,11/6/18,11/7/18,11/8/18,11/9/18,11/10/18,11/11/18,11/12/18,11/13/18,11/14/18
