Date,,9-5-23,9-6-23,9-9-23,9-12-23,9/17/23,9/18/23,9/19/23,9/20/23,9/21/23,9/22/23,9/23/23,9/24/23,9/25/23,9/26/23,9/27/23,9/28/23,9/29/23,9/30/23,10/1/23,10/2/23,10/3/23,10/4/23,10/5/23,10/6/23,10/7/23,10/8/23,10/9/23,10/10/23,10/11/23,10/12/23,10/13/23,10/14/23,10/15/23,10/16/23,10/17/23,10/18/23,10/19/23,10/20/23,10/21/23,10/22/23,10/23/23,10/24/23,10/25/23,10/26/23,10/27/23,10/28/23,10/29/23,10/30/23,10/31/23,11/1/23,11/2/23,11/3/23,11/4/23,11/5/23,11/6/23,11/7/23,11/8/23,11/9/23,11/10/23,11/11/23,11/12/23,11/13/23,11/14/23,11/15/23,11/16/23,11/17/23,11/18/23,11/19/23,11/20/23,11/21/23,11/22 thru 26,11/27/23,11/28/23,11/29/23,11/30/23,12/1/23,12/2/23,12/3/23,12/4/23,12/5/23,12/6/23,12/7/23,12/8/23,12/9/23,12/10/23,12/11/23,12/12/23,12/13/23,12/14/23,12/15/23,12/18/23,12/19/23,12/20/23,12/21/23,12/22/23
COEI,11622,,,,,13,49,4,3,34,72,71,184,219,115,78,70,169,118,63,59,39,107,23,76,74,3,188,143,317,195,,211,302,234,1488,430,301,111,297,36,645,470,195,197,454,14,105,178,93,83,,219,619,454,64,12,39,202,387,96,65,36,41,31,9,25,25,21,65,148,,2,27,26,76,30,20,289,4,27,60,3,5,50,18,4,31,11,8,10,,9,8,13,3
NOGA,4187,1,,,,,1,6,5,12,7,32,20,130,56,25,13,8,,8,4,12,,,16,27,53,142,32,12,70,,22,25,4,9,13,21,86,53,20,70,3,201,59,68,102,155,24,37,15,,43,241,231,50,634,33,7,676,43,9,3,,11,63,85,34,8,4,4,,2,7,36,85,45,131,8,,4,,,,,,9,2,,,,,,,,
COLO,2593,2,1,,,46,21,6,40,64,42,58,22,69,52,14,7,13,9,13,32,10,15,,23,8,,10,27,13,15,,35,60,27,148,62,72,20,34,5,290,68,28,42,48,21,41,28,24,19,,87,56,48,24,27,13,20,225,16,34,17,18,20,27,22,5,18,29,29,,11,4,4,10,9,3,11,2,3,7,2,3,7,1,6,28,10,4,4,6,3,10,5,1
RTLO,1713,,,,,,,,1,1,,,,,,,,1,,,2,,,,4,,1,2,,2,3,,4,2,4,141,12,25,12,12,5,16,40,2,14,18,8,44,53,25,26,,31,12,16,41,60,18,27,225,26,12,11,22,13,14,28,82,13,9,3,,,5,5,79,11,434,17,2,,5,2,,6,1,,1,1,1,,,,,,
LO sp.,21,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,1,1,1,,,,1,1,,,1,2,4,1,,,,,1,,,,,,,,1,,,2,,,,,1,,,,,,,,,,,,,
SUSC,9492,,1,,,34,110,7,21,262,203,516,1337,746,496,221,273,351,212,68,53,38,173,15,256,197,6,69,127,179,473,,79,102,32,746,566,338,72,36,13,72,48,46,45,37,25,53,73,5,9,,41,33,8,6,378,6,9,18,11,1,2,,8,,29,28,4,1,,,3,6,2,8,8,4,2,,1,10,,,7,3,3,2,6,2,,,,,1,
BLSC,3354,,,,,,,,,,,9,1,5,1,,,5,,,1,,,,10,6,3,2,,9,26,,6,2,4,143,58,72,30,49,3,130,26,111,41,58,135,64,310,33,37,,62,114,92,21,1046,41,23,33,18,19,18,12,4,4,22,31,3,33,12,,20,18,4,9,4,25,43,19,5,21,24,10,32,6,7,16,14,9,4,13,21,8,6,18
WWSC,1305,,,,,5,13,1,2,37,4,11,122,9,19,5,1,10,1,1,9,2,4,,49,9,,30,19,27,67,,6,6,8,79,59,67,12,5,4,51,23,17,8,29,6,42,17,11,16,,10,7,12,1,158,8,12,35,1,9,5,,4,4,16,6,8,1,2,,,3,1,18,2,4,21,4,,6,6,1,6,,,,3,1,,3,1,1,1,1
SC sp.,1859,,,,,,,,,1,,,17,18,45,,,,,,14,,,,,15,,,,,30,,10,16,14,771,65,57,,2,,231,51,18,5,14,28,100,137,43,8,,10,,30,4,9,21,7,14,1,,,3,,,,,12,1,,,2,,,6,,,11,12,,,,,,,,,1,,,2,,3,,
RBME,2543,,,,,,3,,,,2,,1,,2,1,,5,,,1,4,4,,,,,4,2,28,33,,9,21,16,353,65,141,3,4,4,279,27,10,8,75,12,112,221,18,31,,13,5,60,12,369,22,59,63,80,28,11,10,8,3,49,10,22,27,29,,3,7,10,57,7,6,17,1,10,3,7,1,4,7,,6,6,1,2,,1,4,2,2
GBHE,33,,1,,,,,,,1,,,3,,,,,,,,,,,,,,,,1,,,,1,1,,23,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CANG,1196,,,,,,,,,12,,,,,12,,,,,,,,,,,,,,,,,,5,,,32,,,,,,47,22,,,,,,,,,,,,,32,,,,57,,7,,,,,,,,,,,,,,131,,,52,78,562,138,,,9,,,,,,,,,,,
CACG,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
CACG/CANG,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRAN,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WODU,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MALL,13,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,2,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,1,,1,,,,,,,,2,,,,,
ABDU,374,,,,,1,3,,8,5,,2,13,5,1,,,2,,,1,,8,,2,1,,1,,1,4,,3,,,28,21,3,,11,3,9,13,11,4,9,,7,10,,8,,4,,3,3,5,1,35,1,1,3,,,3,,2,,1,,2,,,,,15,12,,1,13,28,16,,5,1,11,,1,,,8,,1,,,
MALLxABDU,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
NOPI,62,,,,,,3,,,5,,2,3,3,2,,,,7,,,9,1,,,,,,5,,,,,,,,,2,,,,1,1,,,2,4,,3,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GWTE,97,,,,,,1,,,8,2,11,21,4,,8,,,,,,5,1,,,,,,,1,2,,,,2,19,6,,,,1,2,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BWTE,7,6,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMWI,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GADW,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,
Duck sp.,903,,,,,,,,,,1,,12,4,3,11,,,1,,1,,,,12,,,,,28,3,,3,2,3,88,48,34,6,1,6,85,11,3,13,18,2,52,147,16,7,,,,26,18,18,19,9,28,14,12,11,7,,,3,,4,3,6,,,,,11,3,5,39,4,15,3,10,,4,2,1,1,3,2,,,,1,,
HADU,121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,6,2,,,3,,,,2,2,2,,,,,,,1,1,,,6,,1,5,,,,,,,6,,1,1,3,,6,,,14,1,3,7,,,14,,4,7,2,1,4,1,,4,4,2,,2,
LTDU,3789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,2,57,24,17,5,3,5,88,125,39,93,196,7,106,213,24,19,,35,10,109,27,170,53,268,156,15,23,28,11,20,4,37,45,39,89,82,,232,64,53,159,25,26,113,13,36,32,31,22,79,19,71,69,83,31,32,47,111,66,67,38
COGO,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,4,,,,,,,,6,,,,,4,,,,,7,3,2,2,,1,,1,,,8,,2,,,
BUFF,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,5,,,2,2,,,,,1,,,,,,1,1,
GRSC,126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,4,5,4,,,,,,,,,,1,55,17,1,,,,,,11,,3,1,,3,,,,,1,,,,7,,,,,,,,,,,,,,,,6,,,,,,,,,
LESC,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,
Scaup sp.,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RNDU,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COME,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,6,1,,,,,,,,,,,
HOME,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOGU,21,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,1,,,,,,,,,,,,,,,,,,,,,,1,,3,,,,,,,,,1,,,,,,,,,,,,,,,,,,,2,,,,,,,,
LAGU,34,,,,,2,,1,11,,,2,5,,2,,,,,1,,,,,,1,,2,4,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RBGU,1288,,,,,6,2,,,,1,5,2,4,7,,,,,,3,8,2,,3,9,,34,8,13,8,,21,4,,1,,43,26,12,,2,,21,5,2,2,5,6,9,5,,2,47,4,2,38,67,6,28,37,2,,,,28,27,71,6,1,1,,,,,2,37,32,503,8,25,3,1,,,7,,4,12,,2,,,2,4,
LBBG,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICGU,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
WW Gull,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLKI,681,,,,,,,,2,,,,5,3,,,1,1,,,,,,,1,5,,28,4,6,6,,,,1,,2,1,5,3,,2,,,1,1,,,7,,,,,3,6,3,13,5,4,12,5,2,,,1,1,54,31,4,,,,8,1,11,10,45,11,9,1,1,,,,2,10,326,6,6,,3,2,,,,
Gull Sp.,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
CATE,11,,,,,,,,,,,,,,,2,,4,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COTE,7,,,,,1,1,,,,,,1,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Osprey,6,,,,,1,,,,2,,,,,,,1,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAEA,5,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
NOHA,19,,,,,,,,,1,,,,,4,,,,,1,1,,,,,,,,,,,,,1,1,,,,,,,2,,,,,,,,,1,,,,,,,,2,1,1,,,,,1,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,
SSHA,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGOS,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMKE,4,,,,,,,,,2,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MERL,7,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,1,,,,,,,1,1,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PEFA,13,,,,,,,,,,,,1,,2,,,3,,,,,,,,1,,,,2,,,1,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
AGPL,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPL,4,,,,,3,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BBPL,4,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peep sp.,2,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dunlin,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PUSA,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,
BASA,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WRSA,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAND,14,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,11,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
WHIM,2,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMWO,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shorebird sp.,14,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
PALO,3,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RNGR,124,,,,,,1,,,,,,,,,,,,,,,,1,,,,,3,,,,,,,,,1,1,,,1,,3,1,2,2,,2,1,,,,1,3,,,2,1,2,2,2,,1,,,2,3,,5,2,5,,,2,,1,,1,3,,1,4,4,2,9,6,1,16,9,1,,4,3,4,1,2
HOGR,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
BLGU,767,,,,,,,,,,4,7,5,1,1,1,8,5,1,,,,1,,1,,,1,4,5,9,,4,5,1,1,1,7,,1,1,3,6,13,17,15,4,2,1,,,,11,18,5,1,1,5,3,13,5,10,3,1,,4,2,6,13,45,25,,15,10,11,1,7,1,,,,4,6,4,72,2,9,94,153,8,16,,10,16,21,
RAZO,289,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,,2,,,,,1,1,2,,,4,,,,23,12,,2,,1,4,1,,,,,1,3,1,,1,,,,25,3,28,9,24,24,,3,,,,10,,44,15,22,2,12,2,,,2,
DOVE,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,2,,,,
COMU,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,1,,1,,1,,,,,
TBMU,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,1,,,,
Alcid sp.,32,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,2,,11,10,,,,,,1,,4,,,,,1,,,,
PAJA,15,,,,,,,,,,,1,,,,,,,,,,,,,,,,2,1,2,2,,,,,2,,,1,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
POJA,6,,,,,,,,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,
LTJA,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaeger sp.,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duck/Alcid/Loon sp.,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,1,,,,,,,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
